pid,label,contributor ,_date,author,location,description,object_type
tam001,Black Solidarity Day Flyer,"Tamiment-Wagner Collections, PE.036, Box 15",circa 1970,no author,"New York, New York","This flyer calls for a Black Solidarity Day Convention to happen at the Manhattan Center, located at 311 W. 34th Street, on the anniversay of Black Solidarity day. To participate in the convention, individuals are instructed to stay home during the day, ""Do not go to work. Do not use the telephone. Do not Shop. Do not use the trains or buses until sundown. Most of all, participate in the events scheduled for this day in your community."" In the evening, participants are invited to come to the Manhattan Center to participate in the convention. One should note the use of a union bug in the lower right side of the document. Union bugs are small labels that denote that the individuals who produced a product are represented by a labor union. The presence of this emblem on the flyer is demonstrative of the solidarity efforts, and the stressing of economic and labor power of Black people, on Black Solidarity Day.",flyer
tam002,"Black Solidarity Day Parade, 1972","Tamiment-Wagner Collections, Photos.223.001, Box 18c, Shoot 720258",1972,"Ron Tyson, The Daily Worker and The Daily World","New York, New York","Children, and adults pushing strollers, march in front of a banner that reads ""Harlem Institute Marxist Studies."" In the middleground of the photograph, an individual raises a fist in the air as a sign of Black power and solidarity. The child accompanying the person with the raised fist carries a small flag.",photograph
tam003,"Black Solidarity Day Parade, 1972","Tamiment-Wagner Collections, Photos.223.001, Box 18c, Shoot 720258",1972,"Ron Tyson, The Daily Worker and The Daily World","New York, New York","Marchers in the 1972 Black Solidarity Day parade carry a banner that reads ""Harlem Institute Marxist Studies."" Behind the banner are a number of parade floats, and the sides of the parade are lined with on-lookers, participants, and individuals cheering on the parade. ",photograph
tam004,"Black Solidarity Day Parade, 1972","Tamiment-Wagner Collections, Photos.223.001, Box 33, Shoot 720258",1972,"Ron Tyson, The Daily Worker and The Daily World","New York, New York",A person rides a top a car in the 1972 Black Solidarity Day parade. ,photograph
tam005,"Black Solidarity Day Parade, 1972","Tamiment-Wagner Collections, Photos.223.001, Box 33, Shoot 720258",1972,"Ron Tyson, The Daily Worker and The Daily World","New York, New York",A person wearing a dress and holidng a bouquet of flowers sits in a decorated float during the 1972 Black Solidarity Day parade. The person is smiling at the camera and raising their fist.,photograph
tam006,"Black Solidarity Day Parade, 1972","Tamiment-Wagner Collections, Photos.223.001, Box 33, Shoot 720258",1972,"Ron Tyson, The Daily Worker and The Daily World","New York, New York","Marchers in the 1972 Black Solidarity Day parade carry a banner that reads ""Harlem Institute Marxist Studies."" In front of the banner an adult walks hand-in-hand with a small child.",photograph
tam007,"Black Solidarity Day Parade, 1972","Tamiment-Wagner Collections, Photos.223.001, Box 33, Shoot 720258",1972,"Ron Tyson, The Daily Worker and The Daily World","New York, New York","An adult pushes a stroller in front of the ""Harlem Institude for Marxist Studies"" banner during the Black Solidarity Day Parade in 1972. Black Solidarity Day was conceived as a day of unity for all Black people and so it has historically offered events that are inclusive and supportive of the participation of families.",photograph
tam008,"Black Solidarity Day Parade, 1972","Tamiment-Wagner Collections, Photos.223.001, Box 33, Shoot 720258",1972,"Ron Tyson, The Daily Worker and The Daily World","New York, New York","A line of community leaders and honored parade participants, wearing sashes, and marching in the 1972 Black Solidarity Day parade, wave to the crowds along the parade route.",photograph
tam009,"Black Solidarity Day Parade, 1972","Tamiment-Wagner Collections, Photos.223.001, Box 18c, Shoot 720258",1972,"Ron Tyson, The Daily Worker and The Daily World","New York, New York","The City Mission Cadet Corps (CMCC) Warriors Drum and Bugle Corps, formed in 1937, was a junior marching and parade corps based in Harlem. They were sponsored by the Charles Young American Legion Post 398, and  they were an award winning drum line and bugle corps. Here the Warriors march in the 1972 Black Solidarity Day parade",photograph
tam010,"Black Solidarity Day Parade, 1972","Tamiment-Wagner Collections, Photos.223.001, Box 18c, Shoot 720258",1972,"Ron Tyson, The Daily Worker and The Daily World","New York, New York","Two individuals ride on a float that reads ""Malcolm X The Man"" in the 1972 Black Solidarity Day parade. On the float there is a pyramid with a portrait of Malcolm X and numerous flags flying inclusive of a Pan African flag and the Algerian national flag",photograph
